molecule_chembl_id,AP2DC_1,AP2DC_2,AP2DC_3,AP2DC_4,AP2DC_5,AP2DC_6,AP2DC_7,AP2DC_8,AP2DC_9,AP2DC_11,AP2DC_13,AP2DC_17,AP2DC_22,AP2DC_24,AP2DC_26,AP2DC_27,AP2DC_29,AP2DC_30,AP2DC_32,AP2DC_33,AP2DC_34,AP2DC_35,AP2DC_39,AP2DC_40,AP2DC_41,AP2DC_42,AP2DC_43,AP2DC_45,AP2DC_47,AP2DC_49,AP2DC_50,AP2DC_51,AP2DC_52,AP2DC_53,AP2DC_55,AP2DC_56,AP2DC_57,AP2DC_58,AP2DC_62,AP2DC_63,AP2DC_64,AP2DC_65,AP2DC_66,AP2DC_67,AP2DC_68,AP2DC_69,AP2DC_70,AP2DC_71,AP2DC_72,AP2DC_73,AP2DC_74,AP2DC_75,AP2DC_76,AP2DC_77,AP2DC_78,AP2DC_86,AP2DC_91,AP2DC_93,AP2DC_96,AP2DC_97,AP2DC_98,AP2DC_100,AP2DC_102,AP2DC_104,AP2DC_105,AP2DC_106,AP2DC_107,AP2DC_110,AP2DC_111,AP2DC_112,AP2DC_114,AP2DC_115,AP2DC_118,AP2DC_120,AP2DC_121,AP2DC_122,AP2DC_123,AP2DC_124,AP2DC_126,AP2DC_129,AP2DC_130,AP2DC_131,AP2DC_132,AP2DC_133,AP2DC_134,AP2DC_136,AP2DC_138,AP2DC_139,AP2DC_140,AP2DC_141,AP2DC_143,AP2DC_144,AP2DC_145,AP2DC_146,AP2DC_147,AP2DC_148,AP2DC_155,AP2DC_156,AP2DC_158,AP2DC_165,AP2DC_166,AP2DC_167,AP2DC_168,AP2DC_169,AP2DC_174,AP2DC_176,AP2DC_177,AP2DC_178,AP2DC_179,AP2DC_184,AP2DC_185,AP2DC_186,AP2DC_187,AP2DC_189,AP2DC_192,AP2DC_193,AP2DC_194,AP2DC_195,AP2DC_196,AP2DC_197,AP2DC_201,AP2DC_204,AP2DC_205,AP2DC_210,AP2DC_217,AP2DC_218,AP2DC_221,AP2DC_231,AP2DC_241,AP2DC_245,AP2DC_246,AP2DC_247,AP2DC_251,AP2DC_252,AP2DC_253,AP2DC_255,AP2DC_256,AP2DC_257,AP2DC_258,AP2DC_260,AP2DC_262,AP2DC_263,AP2DC_264,AP2DC_265,AP2DC_267,AP2DC_268,AP2DC_269,AP2DC_270,AP2DC_272,AP2DC_275,AP2DC_280,AP2DC_284,AP2DC_285,AP2DC_286,AP2DC_288,AP2DC_291,AP2DC_292,AP2DC_300,AP2DC_304,AP2DC_305,AP2DC_306,AP2DC_308,AP2DC_309,AP2DC_312,AP2DC_314,AP2DC_315,AP2DC_316,AP2DC_320,AP2DC_321,AP2DC_323,AP2DC_324,AP2DC_326,AP2DC_327,AP2DC_328,AP2DC_329,AP2DC_330,AP2DC_331,AP2DC_332,AP2DC_333,AP2DC_337,AP2DC_338,AP2DC_339,AP2DC_341,AP2DC_342,AP2DC_345,AP2DC_348,AP2DC_349,AP2DC_350,AP2DC_351,AP2DC_352,AP2DC_353,AP2DC_356,AP2DC_357,AP2DC_358,AP2DC_360,AP2DC_361,AP2DC_366,AP2DC_369,AP2DC_372,AP2DC_373,AP2DC_374,AP2DC_375,AP2DC_378,AP2DC_379,AP2DC_380,AP2DC_381,AP2DC_382,AP2DC_383,AP2DC_386,AP2DC_392,AP2DC_393,AP2DC_394,AP2DC_395,AP2DC_398,AP2DC_400,AP2DC_401,AP2DC_403,AP2DC_404,AP2DC_405,AP2DC_406,AP2DC_411,AP2DC_412,AP2DC_413,AP2DC_415,AP2DC_416,AP2DC_417,AP2DC_419,AP2DC_420,AP2DC_421,AP2DC_424,AP2DC_425,AP2DC_427,AP2DC_428,AP2DC_429,AP2DC_433,AP2DC_434,AP2DC_435,AP2DC_436,AP2DC_438,AP2DC_441,AP2DC_442,AP2DC_443,AP2DC_444,AP2DC_445,AP2DC_449,AP2DC_453,AP2DC_454,AP2DC_455,AP2DC_456,AP2DC_457,AP2DC_460,AP2DC_461,AP2DC_462,AP2DC_463,AP2DC_464,AP2DC_467,AP2DC_468,AP2DC_470,AP2DC_471,AP2DC_474,AP2DC_477,AP2DC_478,AP2DC_480,AP2DC_484,AP2DC_485,AP2DC_486,AP2DC_488,AP2DC_489,AP2DC_490,AP2DC_491,AP2DC_492,AP2DC_494,AP2DC_495,AP2DC_496,AP2DC_498,AP2DC_499,AP2DC_500,AP2DC_501,AP2DC_502,AP2DC_503,AP2DC_504,AP2DC_505,AP2DC_506,AP2DC_508,AP2DC_510,AP2DC_512,AP2DC_515,AP2DC_516,AP2DC_517,AP2DC_518,AP2DC_519,AP2DC_520,AP2DC_521,AP2DC_522,AP2DC_524,AP2DC_525,AP2DC_526,AP2DC_527,AP2DC_529,AP2DC_530,AP2DC_533,AP2DC_534,AP2DC_535,AP2DC_537,AP2DC_543,AP2DC_545,AP2DC_548,AP2DC_551,AP2DC_554,AP2DC_555,AP2DC_556,AP2DC_557,AP2DC_558,AP2DC_559,AP2DC_560,AP2DC_561,AP2DC_562,AP2DC_566,AP2DC_567,AP2DC_568,AP2DC_569,AP2DC_571,AP2DC_574,AP2DC_576,AP2DC_579,AP2DC_581,AP2DC_582,AP2DC_583,AP2DC_587,AP2DC_588,AP2DC_589,AP2DC_590,AP2DC_591,AP2DC_595,AP2DC_600,AP2DC_601,AP2DC_602,AP2DC_603,AP2DC_604,AP2DC_607,AP2DC_610,AP2DC_611,AP2DC_612,AP2DC_615,AP2DC_618,AP2DC_619,AP2DC_620,AP2DC_621,AP2DC_622,AP2DC_623,AP2DC_624,AP2DC_625,AP2DC_626,AP2DC_627,AP2DC_628,AP2DC_629,AP2DC_630,AP2DC_631,AP2DC_632,AP2DC_633,AP2DC_634,AP2DC_635,AP2DC_638,AP2DC_640,AP2DC_641,AP2DC_642,AP2DC_643,AP2DC_644,AP2DC_646,AP2DC_649,AP2DC_650,AP2DC_651,AP2DC_652,AP2DC_653,AP2DC_654,AP2DC_655,AP2DC_656,AP2DC_657,AP2DC_661,AP2DC_662,AP2DC_667,AP2DC_668,AP2DC_670,AP2DC_673,AP2DC_674,AP2DC_677,AP2DC_680,AP2DC_681,AP2DC_682,AP2DC_683,AP2DC_684,AP2DC_685,AP2DC_686,AP2DC_687,AP2DC_690,AP2DC_692,AP2DC_693,AP2DC_694,AP2DC_695,AP2DC_696,AP2DC_697,AP2DC_698,AP2DC_699,AP2DC_700,AP2DC_701,AP2DC_702,AP2DC_703,AP2DC_704,AP2DC_705,AP2DC_706,AP2DC_707,AP2DC_708,AP2DC_709,AP2DC_711,AP2DC_712,AP2DC_713,AP2DC_714,AP2DC_715,AP2DC_716,AP2DC_717,AP2DC_719,AP2DC_720,AP2DC_721,AP2DC_722,AP2DC_723,AP2DC_724,AP2DC_727,AP2DC_730,AP2DC_731,AP2DC_732,AP2DC_736,AP2DC_738,AP2DC_739,AP2DC_740,AP2DC_741,AP2DC_744,AP2DC_745,AP2DC_746,AP2DC_748,AP2DC_749,AP2DC_751,AP2DC_754,AP2DC_756,AP2DC_757,AP2DC_759,AP2DC_761,AP2DC_763,AP2DC_764,AP2DC_765,AP2DC_770,AP2DC_771,AP2DC_773,AP2DC_777,AP2DC_778,AP2DC_779
CHEMBL165106,0,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,3,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,7,5,0,0,0,10,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,7,0,1,7,3,8,0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,2,0,6,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5,1,3,2,0,3,2,10,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,10,3,1,2,0,0,0,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,0,1,0,3,3,0,1,3,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,2,1,0,0,2,0,1,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CHEMBL165218,0,1,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,0,2,0,2,0,3,0,3,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,8,5,0,0,0,10,4,3,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,7,0,1,7,3,8,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,2,0,6,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,1,3,2,0,3,2,10,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,10,3,3,2,0,0,0,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,3,3,0,1,3,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,2,0,0,0,1,0,1,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CHEMBL165279,0,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,0,3,0,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,7,5,0,0,0,11,4,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,7,0,1,7,3,9,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,6,1,0,2,0,7,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,5,1,3,2,0,4,2,12,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,10,3,1,2,0,0,0,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,3,3,0,1,4,4,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,0,0,0,1,0,2,7,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CHEMBL165342,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,3,0,1,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,4,4,0,0,0,6,2,2,1,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,5,0,1,5,4,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,2,1,6,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8,3,1,3,0,0,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,1,2,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,3,0,0,2,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0
CHEMBL165552,0,2,0,3,2,1,0,0,3,0,3,0,1,0,2,0,0,2,1,4,1,3,0,0,5,2,0,0,0,0,0,0,0,3,2,3,1,0,6,0,1,1,4,1,1,0,2,2,0,3,0,0,1,2,0,0,1,0,0,2,3,0,0,2,1,0,0,3,1,0,0,1,6,3,10,7,1,4,0,10,5,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,1,2,2,0,0,0,0,7,1,2,8,7,7,0,3,5,0,4,0,0,3,0,0,0,0,0,6,0,0,3,0,0,5,3,7,6,4,1,2,4,5,0,0,1,0,1,1,1,1,0,2,0,0,0,0,0,1,2,0,2,0,0,0,0,8,4,4,7,2,1,3,2,9,2,1,2,0,1,1,0,0,0,1,0,3,0,0,0,1,0,0,3,0,0,2,0,0,2,0,0,0,0,0,3,0,0,3,3,0,0,3,2,0,3,0,2,0,2,0,0,1,0,1,0,2,0,2,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,2,1,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,2,0,2,0,0,0,0,0,1,0,2,3,1,0,1,0,2,10,3,1,2,0,0,4,5,5,2,1,0,1,0,2,0,1,1,0,0,1,0,0,1,1,3,0,0,0,0,0,0,1,2,4,0,2,2,3,3,2,3,6,3,4,2,0,3,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,3,1,4,0,1,3,1,0,0,0,0,4,5,0,0,0,0,2,1,0,2,1,1,0,0,0,0,0,1,1,3,0,1,0,0,3,0,0,0,1,2,8,0,0,1,1,0,2,0,2,0,2,0,0,4,7,3,0,0,0,1,1,0,3,1,0,3,2,1,0,1,0,2,1,0,0,0,0,2,0,0,0,0,1,3,0,0,0,6,0,3,0,3,0,0,2,0,0,1,0,0
CHEMBL165925,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,3,0,1,2,0,0,0,2,0,0,1,4,0,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,1,7,5,0,0,0,10,4,2,1,2,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,7,0,1,7,3,7,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,2,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,3,4,9,0,0,0,0,1,2,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,10,3,1,3,0,0,0,5,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,1,3,2,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,3,2,0,0,0,1,0,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
CHEMBL166017,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,3,0,1,4,0,0,0,2,0,0,2,6,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,2,8,5,0,0,0,10,4,2,2,4,2,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,0,0,0,0,7,0,1,7,3,7,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,3,2,9,0,0,0,0,1,3,1,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,3,1,4,0,0,0,5,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,1,3,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,0,0,0,1,0,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHEMBL166032,0,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,3,0,1,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,6,5,0,0,0,10,4,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,7,0,1,7,3,7,0,3,5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,0,2,0,4,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,2,3,0,3,2,9,1,0,0,0,1,1,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,10,3,1,2,0,0,0,5,5,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,3,3,0,1,3,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,0,0,0,1,0,0,3,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0
CHEMBL166060,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,3,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,6,5,0,0,0,10,4,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,0,7,0,1,7,3,7,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,3,2,9,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,10,3,1,2,0,0,0,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,3,3,0,1,3,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHEMBL166079,0,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,2,0,0,2,0,1,0,3,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,6,5,0,0,1,12,4,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,7,0,1,7,3,9,0,3,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,4,8,2,0,2,0,6,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,1,0,3,1,2,2,0,5,3,9,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,1,10,3,1,2,0,0,0,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,3,3,0,1,3,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,3,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,3,3,6,0,0,0,1,0,4,7,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CHEMBL166148,0,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,3,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,6,5,0,0,1,10,4,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,0,7,0,1,7,3,7,0,3,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,2,0,4,2,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,1,2,2,0,3,3,9,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,2,1,0,0,1,0,1,10,3,1,2,0,0,0,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,4,0,0,1,0,0,1,0,1,0,3,3,0,1,3,3,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,3,3,2,2,0,0,3,0,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
